類別,法規名稱,狀態,官方來源,檔案,附件數,基本資料
全國性法律,幼兒就讀教保服務機構補助辦法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000693,全國性法律\幼兒就讀教保服務機構補助辦法.html,2,法規名稱： 幼兒就讀教保服務機構補助辦法 公發布日： 民國 101 年 08 月 21 日 修正日期： 民國 110 年 07 月 29 日 發文字號： 臺教授國部字第1100088598B號 令 法規體系： 國民及學前教育 立法理由： 1100729立法理由.pdf 圖表附件： 幼兒就讀教保服務機構補助辦法第四條附表.pdf
全國性法律,幼兒教保及照顧服務實施準則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000687,全國性法律\幼兒教保及照顧服務實施準則.html,3,法規名稱： 幼兒教保及照顧服務實施準則 公發布日： 民國 101 年 08 月 01 日 修正日期： 民國 112 年 11 月 22 日 發文字號： 臺教授國部字第1120154330A號 令 法規體系： 國民及學前教育 立法理由： (112.2.27)幼兒教保及照顧服務實施準則修正總說明及對照表.pdf 1100818立法理由.pdf 1121123立法理由.pdf
全國性法律,幼兒教育及照顧法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000542,全國性法律\幼兒教育及照顧法.html,1,法規名稱： 幼兒教育及照顧法 英 公發布日： 民國 100 年 06 月 29 日 修正日期： 民國 111 年 06 月 29 日 發文字號： 華總一義字第11100053321號 令 法規體系： 國民及學前教育 全文檔案： (111.6.29)幼兒教育及照顧法全文.pdf
全國性法律,幼兒教育及照顧法施行細則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000718,全國性法律\幼兒教育及照顧法施行細則.html,3,法規名稱： 幼兒教育及照顧法施行細則 公發布日： 民國 101 年 10 月 22 日 修正日期： 民國 112 年 09 月 26 日 發文字號： 臺教授國部字第1120121763A號 令 法規體系： 國民及學前教育 立法理由： 1100723立法理由.pdf (112.2.27)幼兒教育及照顧法施行細則修正總說明及對照表.pdf 1120926立法理由.pdf
全國性法律,幼兒教育及照顧法第27條第1項第2款之解釋令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001513,,0,法規名稱： 幼兒教育及照顧法第27條第1項第2款之解釋令 公發布日： 民國 105 年 01 月 19 日 發文字號： 臺教授國部字第1040155210B號 令 法規體系： 國民及學前教育
全國性法律,幼兒教育及照顧法第8條第1項及幼兒園與其分班設立變更及管理辦法第3條第1項第2款第3目之解釋令,個別解釋令或生效公告，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001563,,0,法規名稱： 幼兒教育及照顧法第8條第1項及幼兒園與其分班設立變更及管理辦法第3條第1項第2款第3目之解釋令 公發布日： 民國 105 年 08 月 23 日 發文字號： 臺教授國部字第1050084059B號 令 法規體系： 國民及學前教育
全國性法律,幼兒教育及照顧法與教保服務人員條例公布負責人行為人機構名稱及場址之公布期間,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL002203,全國性法律\幼兒教育及照顧法與教保服務人員條例公布負責人行為人機構名稱及場址之公布期間.html,1,法規名稱： 幼兒教育及照顧法與教保服務人員條例公布負責人行為人機構名稱及場址之公布期間 公發布日： 民國 112 年 03 月 01 日 發文字號： 臺教授國部字第1120016376A號 公告 法規體系： 國民及學前教育 立法理由： (112.3.1)幼兒教育及照顧法與教保服務人員條例公布負責人行為人機構名稱及場址之公布期間總說明及逐點說明.pdf
全國性法律,廢止一百零三年一月二十三日臺教授國部字第一０二０一三一六三四B號有關幼兒園與其分班設立變更及管理辦法第六條第一項第二款規定之解釋令,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001451,,0,法規名稱： 廢 廢止一百零三年一月二十三日臺教授國部字第一０二０一三一六三四B號有關幼兒園與其分班設立變更及管理辦法第六條第一項第二款規定之解釋令 公發布日： 民國 104 年 06 月 15 日 發文字號： 臺教授國部字第1040056215B號 令 法規體系： 國民及學前教育
全國性法律,性別平等工作法,完成,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0030014,全國性法律\性別平等工作法.html,0,法規名稱： 性別平等工作法 EN 修正日期： 民國 112 年 08 月 16 日 法規類別： 行政 ＞ 勞動部 ＞ 勞動條件及就業平等目
全國性法律,性別平等教育法,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL030508,全國性法律\性別平等教育法.html,0,法規名稱： 性別平等教育法 英 公發布日： 民國 93 年 06 月 23 日 修正日期： 民國 112 年 08 月 16 日 發文字號： 華總一義字第11200069321號 令 法規體系： 學生事務及特殊教育
全國性法律,性別平等教育法施行細則,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=FL036073,全國性法律\性別平等教育法施行細則.html,4,法規名稱： 性別平等教育法施行細則 英 公發布日： 民國 94 年 06 月 13 日 修正日期： 民國 113 年 02 月 15 日 發文字號： 臺教學（三）字第1132800493A號 令 法規體系： 學生事務及特殊教育 立法理由： 0940613立法理由.pdf 1011024立法理由.pdf 1080402立法理由.pdf 1130215立法理由.pdf
全國性法律,托兒所及幼稚園改制幼兒園辦法,已廢止或停止適用，排除,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL000596,,0,法規名稱： 廢 托兒所及幼稚園改制幼兒園辦法 公發布日： 民國 101 年 01 月 05 日 廢止日期： 民國 108 年 01 月 04 日 發文字號： 臺教授國部字第1070160029B號 令 法規體系： 國民及學前教育 立法理由： 1010105立法理由.pdf 1021113立法理由.pdf 圖表附件： 附件.odt
全國性法律,持國外專科以上學歷申請修畢幼兒園教保專業課程證明書收費標準,完成,https://edu.law.moe.gov.tw/LawContent.aspx?id=GL001880,全國性法律\持國外專科以上學歷申請修畢幼兒園教保專業課程證明書收費標準.html,1,法規名稱： 持國外專科以上學歷申請修畢幼兒園教保專業課程證明書收費標準 公發布日： 民國 108 年 04 月 29 日 發文字號： 臺教師(二)字第1080055281B號 令 法規體系： 師資培育及藝術教育 立法理由： 1080429立法理由.pdf
